,id,role_id,alias,title,roleReviewStatistics,growth,industry,salarySuggestion.locationName,salarySuggestion.suggestion.min,salarySuggestion.suggestion.max,salarySuggestion.salary_min,salarySuggestion.salary_max,salarySuggestion.salary_median,salarySuggestion.__typename,roleReviewStatistics.jobSatisfaction,roleReviewStatistics.__typename,growth.value,growth.__typename,salarySuggestion
0,insolvency-manager,insolvency-manager,insolvency-manager,Insolvency Manager,,,accounting,Australia,100000.0,160000.0,120000.0,140000.0,123749.0,SalarySuggestion,,,,,
1,payroll-adviser,payroll-adviser,payroll-adviser,Payroll Adviser,,,accounting,Australia,70000.0,115000.0,85000.0,100000.0,94264.0,SalarySuggestion,,,,,
2,taxation-manager,taxation-manager,taxation-manager,Taxation Manager,,,accounting,Australia,110000.0,170000.0,130000.0,150000.0,139697.0,SalarySuggestion,1.0,RoleReviewStats,,,
3,taxation-consultant,taxation-consultant,taxation-consultant,Taxation Consultant,,,accounting,Australia,65000.0,125000.0,85000.0,105000.0,92500.0,SalarySuggestion,4.1,RoleReviewStats,9.2,Growth,
4,audit-supervisor,audit-supervisor,audit-supervisor,Audit Supervisor,,,accounting,Australia,85000.0,115000.0,95000.0,105000.0,100000.0,SalarySuggestion,5.0,RoleReviewStats,,,
5,tax-agent,tax-agent,tax-agent,Tax Agent,,,accounting,Australia,70000.0,115000.0,85000.0,100000.0,93724.0,SalarySuggestion,5.0,RoleReviewStats,9.2,Growth,
6,trust-officer,trust-officer,trust-officer,Trust Officer,,,accounting,,,,,,,,4.0,RoleReviewStats,,,
7,taxation-adviser,taxation-adviser,taxation-adviser,Taxation Adviser,,,accounting,Australia,80000.0,140000.0,100000.0,120000.0,110000.0,SalarySuggestion,3.0,RoleReviewStats,9.2,Growth,
8,audit-director,audit-director,audit-director,Audit Director,,,accounting,Australia,150000.0,210000.0,170000.0,190000.0,180000.0,SalarySuggestion,5.0,RoleReviewStats,,,
9,audit-specialist,audit-specialist,audit-specialist,Audit Specialist,,,accounting,Australia,100000.0,160000.0,120000.0,140000.0,131250.0,SalarySuggestion,,,,,
