,title,roleId,companyName,salary,workType,isPrivateAdvertiser,listingDate,isPremium,isStandOut,suburb,suburbWhereValue,classification.id,classification.description,subClassification.id,subClassification.description,advertiser.id,advertiser.description
0,Business Analyst - Energy,business-analyst,Red Energy,,Full time,False,2024-07-09T04:10:24Z,True,True,Melbourne,Melbourne VIC 3000,6281,Information & Communication Technology,6283,Business/Systems Analysts,29854423,Red Energy
1,Data Enablement Chapter Lead,,IBC Recruitment,,Full time,False,2024-06-25T22:33:56Z,True,True,Sydney,Sydney NSW 2000,6281,Information & Communication Technology,6295,Programme & Project Management,40844720,IBC Recruitment
2,Data Scientist,data-scientist,Primary & Community Care Services,,Full time,False,2024-06-20T08:12:23Z,False,False,Thornleigh,Thornleigh NSW 2120,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",28203825,Primary & Community Care Services
3,Business Analyst,business-analyst,Perks Chartered Accountants,,Full time,False,2024-07-08T07:55:05Z,False,True,Adelaide,Adelaide SA 5000,1200,Accounting,6143,Analysis & Reporting,36483528,Perks
4,Experimentation Data Scientist,data-scientist,SEEK,,Contract/Temp,False,2024-07-03T05:41:32Z,False,True,Cremorne,Cremorne VIC 3121,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",27372708,SEEK Limited
5,"Data Engineer (Azure, ADF, data lake, data bricks and SQL)",data-engineer,,,Contract/Temp,True,2024-07-11T04:37:34Z,False,False,Canberra,Canberra ACT 2600,6281,Information & Communication Technology,6286,Database Development & Administration,,Private Advertiser
6,Data Scientist,data-scientist,Compare Club,,Full time,False,2024-07-12T04:58:25Z,False,True,Sydney,Sydney NSW 2000,1223,Science & Technology,6222,"Mathematics, Statistics & Information Sciences",45014772,Compare Club
7,Principal Data Analyst,data-analyst,Office of the Auditor-General WA,"L6 - $110,309 - $121,569 pa + super - PSCSA 2022",Full time,False,2024-07-10T06:14:24Z,False,False,Perth,Perth WA 6000,6281,Information & Communication Technology,6283,Business/Systems Analysts,23919267,Office of the Auditor General
8,Data Analyst ,data-analyst,Hudson,$115 - $117.67 p.h. + Inc. Super ,Contract/Temp,False,2024-06-25T06:36:40Z,False,False,Brisbane,Brisbane QLD 4000,6281,Information & Communication Technology,6286,Database Development & Administration,41306130,Hudson - Data & Analytics
9,Senior Data Assurance Analyst,assurance-analyst,Origin Energy,,Contract/Temp,False,2024-07-12T05:05:24Z,False,True,Barangaroo,Barangaroo NSW 2000,6281,Information & Communication Technology,6283,Business/Systems Analysts,21994134,Origin
