,alias,total,remuneration,employability,jobSatisfaction,workLifeBalance,diversityInTasks,careerProgressionOpportunities,__typename
0,insolvency-manager,,,,,,,,
1,payroll-adviser,,,,,,,,
2,taxation-manager,1.0,3.0,3.0,1.0,4.0,3.0,1.0,RoleReviewStats
3,taxation-consultant,17.0,3.2,3.3,4.1,4.3,3.5,3.7,RoleReviewStats
4,audit-supervisor,2.0,3.5,4.0,5.0,4.0,4.0,5.0,RoleReviewStats
5,tax-agent,2.0,3.0,5.0,5.0,5.0,5.0,4.5,RoleReviewStats
6,trust-officer,2.0,4.5,5.0,4.0,5.0,3.5,4.0,RoleReviewStats
7,taxation-adviser,2.0,1.5,3.5,3.0,3.0,4.5,3.0,RoleReviewStats
8,audit-director,1.0,4.0,5.0,5.0,4.0,4.0,4.0,RoleReviewStats
9,audit-specialist,,,,,,,,
10,financial-director,4.0,4.0,4.3,4.3,4.0,4.0,4.3,RoleReviewStats
11,account-administration-assistant,,,,,,,,
12,integrity-officer,,,,,,,,
13,financial-accountant,50.0,3.5,3.7,3.7,3.7,3.3,3.3,RoleReviewStats
14,payroll-officer,98.0,3.6,4.1,3.9,4.1,3.7,3.5,RoleReviewStats
15,payroll-specialist,3.0,4.0,3.7,4.3,3.3,4.0,3.3,RoleReviewStats
16,taxation-accountant,19.0,3.2,3.6,3.7,3.5,3.9,3.6,RoleReviewStats
17,financial-controller,43.0,3.7,4.0,4.1,4.0,4.0,3.6,RoleReviewStats
18,accounts-payable-officer,79.0,3.4,3.7,3.8,4.0,3.6,3.4,RoleReviewStats
19,payroll-manager,14.0,3.8,4.4,4.2,3.9,3.6,3.3,RoleReviewStats
20,credit-controller,21.0,3.4,3.8,4.1,4.1,3.5,3.2,RoleReviewStats
21,business-services-accountant,2.0,3.5,4.0,4.0,3.0,5.0,3.5,RoleReviewStats
22,accounts-receivable-officer,50.0,3.9,4.2,4.3,4.2,4.0,3.6,RoleReviewStats
23,accounting-officer,2.0,3.0,4.0,3.5,2.5,3.0,3.0,RoleReviewStats
24,analyst-consultant,,,,,,,,
25,business-advisory-manager,,,,,,,,
26,cost-accountant,3.0,4.7,4.3,3.7,4.3,3.7,3.7,RoleReviewStats
27,assistant-accountant,97.0,3.5,3.8,3.8,4.0,3.8,3.7,RoleReviewStats
28,payroll-consultant,3.0,5.0,5.0,5.0,5.0,4.7,4.7,RoleReviewStats
29,accounts-payable-assistant,2.0,4.0,4.0,3.0,3.5,3.0,3.5,RoleReviewStats
30,payroll-coordinator,,,,,,,,
31,bookkeeper,120.0,3.8,4.0,4.3,4.4,4.1,3.7,RoleReviewStats
32,invoicing-officer,,,,,,,,
33,financial-manager_2,2.0,4.0,4.0,4.5,5.0,4.0,3.5,RoleReviewStats
34,management-accountant,24.0,4.0,3.8,3.8,3.9,3.8,3.7,RoleReviewStats
35,manager-accounts,21.0,3.9,3.9,4.3,4.0,4.1,3.8,RoleReviewStats
