,role_id,primary_alias
0,taxation-accountant,tax-agent
1,business-services-accountant,tax-agent
2,taxation-consultant,tax-agent
3,accountant,tax-agent
4,company-accountant,tax-agent
5,taxation-adviser,tax-agent
6,group-accountant,tax-agent
7,assistant-accountant,tax-agent
8,financial-manager_2,audit-supervisor
9,financial-accountant,audit-supervisor
10,accounting-manager,audit-supervisor
11,management-accountant,audit-supervisor
12,company-accountant,audit-supervisor
13,financial-analyst,audit-supervisor
14,taxation-manager,audit-supervisor
15,reporting-manager,audit-supervisor
16,compliance-manager,taxation-manager
17,taxation-adviser,taxation-manager
18,audit-supervisor,taxation-manager
19,fund-manager,taxation-manager
20,project-accountant,taxation-manager
21,business-services-manager,taxation-manager
22,investigator,taxation-manager
23,accounting-manager,taxation-manager
24,relationship-adviser,trust-officer
25,estate-manager,trust-officer
26,settlements-administrator,trust-officer
27,lending-adviser,trust-officer
28,settlements-specialist,trust-officer
29,valuer,trust-officer
30,settlements-officer,trust-officer
31,recoveries-officer,trust-officer
32,advisory-manager,insolvency-manager
33,contracts-adviser,insolvency-manager
34,valuer,insolvency-manager
35,settlements-administrator,account-administration-assistant
36,accounts-payable-assistant,account-administration-assistant
37,accounts-assistant,account-administration-assistant
38,youth-justice-worker,account-administration-assistant
39,accounts-payable-officer,account-administration-assistant
40,sterilisation-technician,account-administration-assistant
41,accounts-administrator,account-administration-assistant
42,group-accountant,taxation-consultant
43,accountant,taxation-consultant
44,assistant-accountant,taxation-consultant
45,bookkeeper,taxation-consultant
46,financial-officer,taxation-consultant
47,auditor,taxation-consultant
48,financial-analyst,taxation-consultant
49,accounts-assistant,taxation-consultant
50,litigator,taxation-adviser
51,improvement-coordinator,taxation-adviser
52,accounting-manager,taxation-adviser
53,project-accountant,taxation-adviser
54,fund-accountant,taxation-adviser
55,financial-accountant,taxation-adviser
56,business-services-manager,taxation-adviser
57,consultant-manager,taxation-adviser
58,assurance-manager,audit-director
59,audit-manager,audit-director
60,audit-specialist,audit-director
61,governance-manager,audit-director
62,payroll-coordinator,payroll-adviser
63,payroll-specialist,payroll-adviser
64,payroll-manager,payroll-adviser
65,payroll-consultant,payroll-adviser
66,payroll-officer,payroll-adviser
67,payroll-and-accounts-officer,payroll-adviser
68,talent-adviser,payroll-adviser
69,payroll-administration-officer,payroll-adviser
70,information-technology-director,financial-director
71,human-resources-director,financial-director
72,fund-manager,financial-director
73,compliance-manager,financial-director
74,portfolio-manager,financial-director
75,integration-manager,financial-director
76,project-manager,financial-director
77,chief-financial-officer,financial-director
78,assurance-analyst,audit-specialist
79,safety-specialist,audit-specialist
80,governance-analyst,audit-specialist
81,governance-specialist,audit-specialist
82,audit-manager,audit-specialist
83,audit-director,audit-specialist
84,pricing-specialist,audit-specialist
85,internal-auditor,audit-specialist
86,finance-manager,financial-accountant
87,accountant,financial-accountant
88,financial-manager_2,financial-accountant
89,administration-manager,financial-accountant
90,business-manager,financial-accountant
91,business-services-manager,financial-accountant
92,financial-officer,financial-accountant
93,analyst,financial-accountant
94,pricing-officer,integrity-officer
95,export-operator,integrity-officer
96,veterinary-officer,integrity-officer
97,construction-team-leader,integrity-officer
98,access-officer,integrity-officer
99,licensing-officer,integrity-officer
100,performance-consultant,integrity-officer
101,tender-manager,integrity-officer
102,payroll-coordinator,payroll-officer
103,payroll-specialist,payroll-officer
104,payroll-consultant,payroll-officer
105,accounts-payable-officer,payroll-officer
106,human-resources-administrator,payroll-officer
107,accounts-assistant,payroll-officer
108,office-manager,payroll-officer
109,human-resources-coordinator,payroll-officer
110,human-resources-assistant,payroll-specialist
111,implementation-officer,payroll-specialist
112,finance-coordinator,payroll-specialist
113,accounts-payable-officer,payroll-specialist
114,systems-specialist,payroll-specialist
115,human-resources-manager,payroll-specialist
116,human-resources-officer,payroll-specialist
117,human-resources-administrator,payroll-specialist
118,trust-accountant,taxation-accountant
119,fund-accountant,taxation-accountant
120,financial-officer,taxation-accountant
121,account-officer,taxation-accountant
122,client-manager,taxation-accountant
123,accounting-officer,taxation-accountant
124,bookkeeper,taxation-accountant
125,manager-accounts,taxation-accountant
126,systems-accountant,financial-controller
127,business-analyst,financial-controller
128,finance-manager,financial-controller
129,financial-director,financial-controller
130,commercial-manager,financial-controller
131,group-accountant,financial-controller
132,financial-manager_2,financial-controller
133,internal-auditor,financial-controller
134,business-systems-analyst,analyst-consultant
135,technical-business-analyst,analyst-consultant
136,business-analyst,analyst-consultant
137,business-process-analyst,analyst-consultant
138,information-technology-business-analyst,analyst-consultant
139,agile-business-analyst,analyst-consultant
140,systems-analyst,analyst-consultant
141,business-consultant,analyst-consultant
142,management-accountant,cost-accountant
143,project-accountant,cost-accountant
144,financial-accountant,cost-accountant
145,company-accountant,cost-accountant
146,accounting-manager,cost-accountant
147,systems-accountant,cost-accountant
148,cost-controller,cost-accountant
149,finance-manager,cost-accountant
150,reconciliations-officer,accounts-receivable-officer
151,accounts-clerk,accounts-receivable-officer
152,accounts-payable-officer,accounts-receivable-officer
153,credit-controller,accounts-receivable-officer
154,credit-officer,accounts-receivable-officer
155,account-officer,accounts-receivable-officer
156,financial-officer,accounts-receivable-officer
157,assistant-accountant,accounts-receivable-officer
158,accounts-payable-officer,accounting-officer
159,assistant-accountant,accounting-officer
160,accounts-clerk,accounting-officer
161,financial-administrator,accounting-officer
162,business-support-officer,accounting-officer
163,clerk,accounting-officer
164,trust-accountant,accounting-officer
165,control-officer,accounting-officer
166,growth-manager,business-advisory-manager
167,mergers-and-acquisitions-manager,business-advisory-manager
168,business-services-manager,business-advisory-manager
169,change-adviser,business-advisory-manager
170,group-accountant,business-advisory-manager
171,strategy-specialist,business-advisory-manager
172,forensic-accountant,business-advisory-manager
173,planning-specialist,business-advisory-manager
174,implementation-officer,payroll-manager
175,implementation-consultant,payroll-manager
176,presales-consultant,payroll-manager
177,design-lead,payroll-manager
178,benefits-specialist,payroll-manager
179,financial-controller,payroll-manager
180,finance-manager,payroll-manager
181,systems-manager,payroll-manager
182,management-accountant,credit-controller
183,financial-officer,credit-controller
184,customer-services-manager,credit-controller
185,officer,credit-controller
186,recovery-officer,credit-controller
187,office-allrounder,credit-controller
188,property-manager,credit-controller
189,telemarketer,credit-controller
190,management-accountant,business-services-accountant
191,tax-agent,business-services-accountant
192,trust-accountant,business-services-accountant
193,auditor,business-services-accountant
194,cost-accountant,business-services-accountant
195,taxation-accountant,business-services-accountant
196,business-analyst,business-services-accountant
197,internal-auditor,business-services-accountant
198,bookkeeper,accounts-payable-officer
199,reconciliations-officer,accounts-payable-officer
200,accounts-payable-assistant,accounts-payable-officer
201,credit-controller,accounts-payable-officer
202,credit-officer,accounts-payable-officer
203,purchasing-officer,accounts-payable-officer
204,administration-clerk,accounts-payable-officer
205,accounts-receivable-officer,accounts-payable-officer
206,office-manager,assistant-accountant
207,manager-accounts,assistant-accountant
208,management-accountant,assistant-accountant
209,bookkeeper,assistant-accountant
210,account-officer,assistant-accountant
211,company-accountant,assistant-accountant
212,accounts-administrator,assistant-accountant
213,taxation-accountant,assistant-accountant
214,payroll-manager,payroll-consultant
215,payroll-specialist,payroll-consultant
216,payroll-officer,payroll-consultant
217,payroll-coordinator,payroll-consultant
218,payroll-adviser,payroll-consultant
219,payroll-clerk,payroll-consultant
220,payroll-and-accounts-officer,payroll-consultant
221,implementation-consultant,payroll-consultant
222,data-entry-operator,accounts-payable-assistant
223,billing-officer,accounts-payable-assistant
224,payroll-clerk,accounts-payable-assistant
225,accounts-payable-officer,accounts-payable-assistant
226,accounts-assistant,accounts-payable-assistant
227,accounts-receivable-officer,accounts-payable-assistant
228,accounts-administrator,accounts-payable-assistant
229,reconciliations-officer,accounts-payable-assistant
230,billing-officer,invoicing-officer
231,operations-administration-officer,invoicing-officer
232,billing-clerk,invoicing-officer
233,reconciliations-officer,invoicing-officer
234,data-officer,invoicing-officer
235,examinations-officer,invoicing-officer
236,relationship-manager,financial-manager_2
237,business-adviser,financial-manager_2
238,practice-manager,financial-manager_2
239,commercial-analyst,financial-manager_2
240,economist,financial-manager_2
241,general-manager,financial-manager_2
242,risk-manager,financial-manager_2
243,financial-planner,financial-manager_2
244,accounts-payable-officer,account-officer
245,assistant-accountant,account-officer
246,financial-officer,account-officer
247,accounts-assistant,account-officer
248,bookkeeper,account-officer
249,accounts-clerk,account-officer
250,accounts-administrator,account-officer
251,payroll-officer,account-officer
252,human-resources-administrator,payroll-coordinator
253,human-resources-adviser,payroll-coordinator
254,human-resources-officer,payroll-coordinator
255,payroll-officer,payroll-coordinator
256,payroll-specialist,payroll-coordinator
257,payroll-consultant,payroll-coordinator
258,payroll-adviser,payroll-coordinator
259,payroll-clerk,payroll-coordinator
260,accountant,management-accountant
261,business-services-accountant,management-accountant
262,financial-officer,management-accountant
263,accounting-officer,management-accountant
264,financial-accountant,management-accountant
265,assistant-accountant,management-accountant
266,company-accountant,management-accountant
267,commercial-analyst,management-accountant
268,company-accountant,bookkeeper
269,credit-controller,bookkeeper
270,personal-assistant,bookkeeper
271,receptionist,bookkeeper
272,accounts-receivable-officer,bookkeeper
273,financial-administrator,bookkeeper
274,administration-clerk,bookkeeper
275,property-manager,bookkeeper
276,manager-accounts,accounts-clerk
277,office-administrator,accounts-clerk
278,credit-controller,accounts-clerk
279,data-entry-clerk,accounts-clerk
280,payroll-clerk,accounts-clerk
281,assistant_2,accounts-clerk
282,accounts-payable-assistant,accounts-clerk
283,client-services-officer,accounts-clerk
284,accounts-assistant,manager-accounts
285,accounts-administrator,manager-accounts
286,assistant-accountant,manager-accounts
287,administration-manager,manager-accounts
288,accountant,manager-accounts
289,accounts-receivable-officer,manager-accounts
290,financial-administrator,manager-accounts
291,practice-manager,manager-accounts
292,financial-controller,audit-manager
293,financial-manager_2,audit-manager
294,finance-manager,audit-manager
295,risk-manager,audit-manager
296,accounting-manager,audit-manager
297,audit-director,audit-manager
298,project-accountant,audit-manager
299,reporting-manager,audit-manager
300,payroll-officer,payroll-and-accounts-officer
301,payroll-specialist,payroll-and-accounts-officer
302,account-officer,payroll-and-accounts-officer
303,payroll-coordinator,payroll-and-accounts-officer
304,payroll-consultant,payroll-and-accounts-officer
305,accounts-payable-officer,payroll-and-accounts-officer
306,payroll-adviser,payroll-and-accounts-officer
307,payroll-clerk,payroll-and-accounts-officer
308,company-accountant,systems-accountant
309,financial-analyst,systems-accountant
310,project-accountant,systems-accountant
311,management-accountant,systems-accountant
312,financial-accountant,systems-accountant
313,cost-accountant,systems-accountant
314,financial-controller,systems-accountant
315,finance-manager,systems-accountant
316,collections-officer,credit-officer
317,credit-analyst,credit-officer
318,account-officer,credit-officer
319,accounts-payable-officer,credit-officer
320,accounts-clerk,credit-officer
321,banking-officer,credit-officer
322,recoveries-officer,credit-officer
323,reconciliations-officer,credit-officer
324,financial-controller,group-accountant
325,financial-accountant,group-accountant
326,company-accountant,group-accountant
327,management-accountant,group-accountant
328,project-accountant,group-accountant
329,finance-manager,group-accountant
330,auditor,group-accountant
331,taxation-consultant,group-accountant
332,client-manager,business-services-manager
333,risk-manager,business-services-manager
334,systems-manager,business-services-manager
335,compliance-manager,business-services-manager
336,business-leader,business-services-manager
337,procurement-manager,business-services-manager
338,service-manager_2,business-services-manager
339,business-advisory-manager,business-services-manager
340,business-services-accountant,project-accountant
341,taxation-accountant,project-accountant
342,financial-manager_2,project-accountant
343,audit-manager,project-accountant
344,audit-supervisor,project-accountant
345,financial-consultant,project-accountant
346,finance-consultant,project-accountant
347,reporting-analyst,project-accountant
348,payroll-officer,payroll-administration-officer
349,payroll-coordinator,payroll-administration-officer
350,payroll-and-accounts-officer,payroll-administration-officer
351,care-consultant,payroll-administration-officer
352,payroll-adviser,payroll-administration-officer
353,payroll-specialist,payroll-administration-officer
354,payroll-consultant,payroll-administration-officer
355,scheduling-officer,payroll-administration-officer
356,bookkeeper,company-accountant
357,financial-controller,company-accountant
358,financial-administrator,company-accountant
359,financial-accountant,company-accountant
360,management-accountant,company-accountant
361,finance-manager,company-accountant
362,group-accountant,company-accountant
363,project-accountant,company-accountant
364,accounts-clerk,billing-officer
365,solutions-officer,billing-officer
366,payments-officer,billing-officer
367,data-officer,billing-officer
368,accounts-payable-officer,billing-officer
369,billing-clerk,billing-officer
370,credit-controller,billing-officer
371,reconciliations-officer,billing-officer
372,finance-consultant,finance-manager
373,treasurer,finance-manager
374,financial-controller,finance-manager
375,management-accountant,finance-manager
376,financial-accountant,finance-manager
377,audit-manager,finance-manager
378,business-analyst,finance-manager
379,finance-business-partner,finance-manager
380,group-accountant,auditor
381,business-analyst,auditor
382,project-officer,auditor
383,registered-nurse,auditor
384,management-consultant,auditor
385,relationship-manager,auditor
386,financial-analyst,auditor
