,type,label,alias
0,Referenceable Experience,Insolvency,insolvency-manager
1,Referenceable Experience,Restructuring,insolvency-manager
2,Observable Attributes,Assertive Communication,insolvency-manager
3,Referenceable Experience,Relationship Management,insolvency-manager
4,Referenceable Experience,Public Practice Accounting,insolvency-manager
5,Referenceable Experience,Financial Statements,insolvency-manager
6,Referenceable Experience,Project Management,insolvency-manager
7,Observable Attributes,Business Networking,insolvency-manager
8,Observable Attributes,Verbal Communication,insolvency-manager
9,Referenceable Experience,MYOB Accounting Software,insolvency-manager
10,Referenceable Experience,Commerce,insolvency-manager
11,Referenceable Experience,Leadership,insolvency-manager
12,Referenceable Experience,Case Management,insolvency-manager
13,Referenceable Experience,Analysis,insolvency-manager
14,Observable Attributes,Numeracy,insolvency-manager
15,Observable Attributes,Communication Skills,insolvency-manager
16,Observable Attributes,Negotiation,insolvency-manager
17,Referenceable Experience,Team Leadership,insolvency-manager
18,Observable Attributes,Team Work,insolvency-manager
19,Observable Attributes,Resilience,insolvency-manager
20,Referenceable Experience,Gmail,tax-agent
21,Referenceable Experience,Xero Accounting Software,tax-agent
22,Referenceable Experience,Application Software,tax-agent
23,Referenceable Experience,Taxation,tax-agent
24,Referenceable Experience,Customer Service,tax-agent
25,Observable Attributes,Communication Skills,tax-agent
26,Observable Attributes,Organised,tax-agent
27,Observable Attributes,Written Communication,tax-agent
28,Observable Attributes,Autonomy,tax-agent
29,Referenceable Experience,Strategic Leadership Skills,audit-director
30,Referenceable Experience,Accounting Software,audit-director
31,Referenceable Experience,Waterfall Methodology,audit-director
32,Verifiable Attainments,Thai Certified Investment and Securities Analyst,audit-director
33,Referenceable Experience,Information Technology Audit,audit-director
34,Referenceable Experience,Protective Security,audit-director
35,Referenceable Experience,Control Objectives for Information and Related Technology,audit-director
36,Verifiable Attainments,CRISC Certification,audit-director
37,Referenceable Experience,Public Practice Accounting,audit-director
38,Verifiable Attainments,CISM Certification,audit-director
39,Verifiable Attainments,Cissp Certificate,audit-director
40,Observable Attributes,Mature Thinking,audit-director
41,Observable Attributes,Stakeholder Management,audit-director
42,Referenceable Experience,Enterprise Business,audit-director
43,Referenceable Experience,Cybersecurity,audit-director
44,Referenceable Experience,ITIL Framework,audit-director
45,Referenceable Experience,Relationship Management,audit-director
46,Observable Attributes,Communication Skills,audit-director
